Type,count,mean,std,min,25%,50%,75%,max
managed,25.0,0.4998552,0.0648324970205272,0.328106,0.4656,0.495705,0.527442,0.623193
simple,25.0,0.48088127999999997,0.10981626567571855,0.37401799999999996,0.39497699999999997,0.45760199999999995,0.510921,0.831958
